iShares MSCI ACWI ETF
Fund Holdings as of,"Apr 02, 2026"
Inception Date,"Mar 26, 2008"
Shares Outstanding,"204,200,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"1299","AIA GROUP LTD","Financials","Equity","36,656,908.27","0.13","36,656,908.27","3,334,800.00","10.99","Hong Kong","Hong Kong Exchanges And Clearing Ltd","USD","7.84","HKD","-"
"ENB","ENBRIDGE INC","Energy","Equity","36,597,985.42","0.13","36,597,985.42","675,825.00","54.15","Canada","Toronto Stock Exchange","USD","1.39","CAD","-"
"NOVO B","NOVO NORDISK CLASS B","Health Care","Equity","36,569,374.29","0.13","36,569,374.29","998,665.00","36.62","Denmark","Omx Nordic Exchange Copenhagen A/S","USD","6.47","DKK","-"
"INTU","INTUIT INC","Information Technology","Equity","36,013,885.12","0.13","36,013,885.12","85,244.00","422.48","United States","NASDAQ","USD","1.00","USD","-"
"COF","CAPITAL ONE FINANCIAL CORP","Financials","Equity","35,796,398.40","0.13","35,796,398.40","196,770.00","181.92","United States","NYSE","USD","1.00","USD","-"
"PGR","PROGRESSIVE CORP","Financials","Equity","35,548,777.00","0.13","35,548,777.00","182,068.00","195.25","United States","NYSE","USD","1.00","USD","-"
"SYK","STRYKER CORP","Health Care","Equity","35,439,636.76","0.12","35,439,636.76","106,894.00","331.54","United States","NYSE","USD","1.00","USD","-"
"PH","PARKER-HANNIFIN CORP","Industrials","Equity","35,385,282.08","0.12","35,385,282.08","38,968.00","908.06","United States","NYSE","USD","1.00","USD","-"
"AIR","AIRBUS GROUP","Industrials","Equity","35,036,978.09","0.12","35,036,978.09","183,677.00","190.75","France","Nyse Euronext - Euronext Paris","USD","0.87","EUR","-"
"GSK","GLAXOSMITHKLINE","Health Care","Equity","34,880,056.15","0.12","34,880,056.15","1,228,335.00","28.40","United Kingdom","London Stock Exchange","USD","0.76","GBP","-"
"VRTX","VERTEX PHARMACEUTICALS INC","Health Care","Equity","34,846,735.30","0.12","34,846,735.30","79,430.00","438.71","United States","NASDAQ","USD","1.00","USD","-"
"MO","ALTRIA GROUP INC","Consumer Staples","Equity","34,490,396.64","0.12","34,490,396.64","524,489.00","65.76","United States","NYSE","USD","1.00","USD","-"
"XTSLA","BLK CSH FND TREASURY SL AGENCY","Cash and/or Derivatives","Money Market","34,467,499.00","0.12","34,467,499.00","34,467,499.00","1.00","United States","-","USD","1.00","USD","-"
"MDT","MEDTRONIC PLC","Health Care","Equity","34,343,077.42","0.12","34,343,077.42","396,434.00","86.63","United States","NYSE","USD","1.00","USD","-"
"MCK","MCKESSON CORP","Health Care","Equity","34,236,668.76","0.12","34,236,668.76","38,717.00","884.28","United States","NYSE","USD","1.00","USD","-"
"RIO","RIO TINTO PLC","Materials","Equity","33,930,673.31","0.12","33,930,673.31","360,725.00","94.06","United Kingdom","London Stock Exchange","USD","0.76","GBP","-"
"8058","MITSUBISHI CORP","Industrials","Equity","33,774,217.05","0.12","33,774,217.05","997,300.00","33.87","Japan","Tokyo Stock Exchange","USD","159.37","JPY","-"
"CME","CME GROUP INC CLASS A","Financials","Equity","33,772,320.79","0.12","33,772,320.79","110,689.00","305.11","United States","NASDAQ","USD","1.00","USD","-"
"AEM","AGNICO EAGLE MINES LTD","Materials","Equity","33,527,335.20","0.12","33,527,335.20","160,894.00","208.38","Canada","Toronto Stock Exchange","USD","1.39","CAD","-"
"SO","SOUTHERN","Utilities","Equity","33,428,273.50","0.12","33,428,273.50","343,030.00","97.45","United States","NYSE","USD","1.00","USD","-"
