"Name","Description","Sources / Links","Parent Company","Country"
"Organic MedJool Dates","Sold by National Best Foods (NBF). Israeli dates and other agricultural products are grown on stolen Palestinian land, often through the exploitation of Palestinian labour under colonization. Nearly 75% of the Medjoul dates on the market are sold as Products of Israel. Boycott Israeli products and purchase Palestinian agricultural produce instead.","https://bdscoalition.ca/2022/03/27/2022-ramadan-boycott-israeli-dates-break-fast-with-palestinian-medjoul/","",""
"Oriental Dates","Sold by National Best Foods (NBF). Israeli dates and other agricultural products are grown on stolen Palestinian land, often through the exploitation of Palestinian labour under colonization. Nearly 75% of the Medjoul dates on the market are sold as Products of Israel. Boycott Israeli products and purchase Palestinian agricultural produce instead.","https://bdscoalition.ca/2022/03/27/2022-ramadan-boycott-israeli-dates-break-fast-with-palestinian-medjoul/","",""
"Origin Ventures","Venture Capital Statement of Support for Israel. Since October 7th hundreds of VCs continue to keep their names on a document supporting Israel's actions, and continue to publicly endorse for Israel's genocide of the people of Gaza.","https://github.com/TechForPalestine/antipalestinian-vc-funds/blob/main/README.md","",""
"Origin Water","Water. Blue Triton is owned by One Rock Capital, with is owned by Mitsubishi Corp. Mitsubishi has made investments in Israel and has opened an office in Tel Aviv to partner with Israeli companies.","https://www.jpost.com/business-and-innovation/article-712729","Blue Triton",""
"Original Penguin","Men’s Clothing and Accessories.  Women’s Clothing and Accessories. Uses Delta Galil fabric, an Israeli textile company with manufacturing and operations in illegal West Bank settlements.","http://www.inminds.com/boycott-delta-galil.html","Perry Ellis International",""
"Originate","Sponsors Walk with Israel","https://bdscoalition.ca/2024/05/01/shame-on-companies-walking-with-israel-during-a-genocide/","",""
"Origins Fund","Venture Capital Statement of Support for Israel. Since October 7th hundreds of VCs continue to keep their names on a document supporting Israel's actions, and continue to publicly endorse for Israel's genocide of the people of Gaza.","https://github.com/TechForPalestine/antipalestinian-vc-funds/blob/main/README.md","",""
"Origins Skincare","Skincare. Origins is owned by Estee Lauder, whose ownership, especially Ronald Lauder, has extremist zionist views and financially and politically supports Israeli occupation of Palestinian land.","https://www.jnf.org/menu-3/speakers-bureau/bio-page?id=830973c9-caae-67a8-a4cf-ff000038378d","Estee Lauder",""
"Orijen","Cat Food-Premium.  Dog Food-Premium. Mars committed investing $1 Billion dollars in partnership with Jerusalem Venture Partners (JVP) to foster food tech solutions in Israel","https://aus.mars.com/news-and-stories/press-releases/mars-partners-with-jerusalem-venture-partners","Mars",""
"Orion Chocolate","Chocolate. Nestle owns a controlling stake in Osem. Osem is an Israeli food manufacturer which operates in Occupied Palestine.","https://en.wikipedia.org/wiki/Osem_(company)","Nestle",""
"Orkal Industries and Mechanization","Settlement Production, The Wall and Checkpoints--A private Israeli provider of generators and energy supply solutions. Orkal generators were documented at Qalandiya (Ataro... See link for more.","https://www.whoprofits.org/companies/company/3929?orcal-industries-and-mechanization","",""
"Orkid Pads","Feminine Products. Procter & Gamble (P&G) has significant involvement in Israel since 2001, with its brands present in 98% of Israeli households, and providing work for countless Israelis. P&G operates a research and development centre in Tel Aviv, where it invests approximately $2 billion annually. In 2007 P&G established the Israel House of Innovation, an open innovation centre Through which it collaborates with Israeli companies, including Teva Pharmaceutical Industries Ltd.","https://www.arabamerica.com/10-brands-youll-give-youre-boycotting-israel/","Procter and Gamble",""
"Oron Group","Exploitation of Occupied Production and Resources, Israeli Construction on Occupied Land, Settlement Production--A publicly traded Israeli company active in the fields of civil engineering, infrastructure, real estate and quarrying. Through... See link for more.","https://www.whoprofits.org/companies/company/7082?oron-group","",""
"Orri Jaffa Mandarin oranges","Orri Jaffa mandarins are an easy-to-peel orange variety developed in Israel.A significant portion of Israel's mandarin exports are Orri Jaffa mandarins. They are reportedly also grown in Spain, South Africa, South America thus examining products for the County of Origin is extremely important.","https://bdscoalition.ca/2024/03/10/do-not-buy-israeli-produce/ , https://orrijaffa.com/distributors/","",""
"Orveda","Skincare. Coty is majority-owned by JAB Holding. JAB Holding Company funds the Landecker Foundation, which is a German organization fighting anti-semitism by supporting Hillel, a Zionist campus group, and cooperating with Hebrew University, without advocating for justice for Palestinians.","https://www.alfredlandecker.org/en/projects/cooperation-with-the-hebrew-university-of-jerusalem","Coty",""
"Osem","Multinational-Food. Osem is an Israeli food manufacturer which operates in Occupied Palestine.","https://en.wikipedia.org/wiki/Osem_(company)","Osem",""
"Oshkosh Corporation","Specialized Equipment and Services--Oshkosh Corporation (formerly Oshkosh Truck) is an American industrial company that designs and builds specialty trucks, military ... See link for more.","https://www.whoprofits.org/companies/company/7379?oshkosh-corporation , https://afsc.org/gaza-genocide-companies","","usa"
"OSI Systems","Specialized Equipment and Services, The Wall and Checkpoints--A publicly traded US-based designer and manufacturer of specialized electronic systems and components for critical applications ... See link for more.","https://www.whoprofits.org/companies/company/4015?ase-american-science-and-engineering","","usa"
"Osiao","Skincare. Osiao is owned by Estee Lauder, whose ownership, especially Ronald Lauder, has extremist zionist views and financially and politically supports Israeli occupation of Palestinian land.","https://www.jnf.org/menu-3/speakers-bureau/bio-page?id=830973c9-caae-67a8-a4cf-ff000038378d","Estee Lauder",""
"Osler, Hoskin & Harcourt LLP","Sponsors Walk with Israel","https://bdscoalition.ca/2024/05/01/shame-on-companies-walking-with-israel-during-a-genocide/","",""
"OSS Capital","Venture Capital Statement of Support for Israel. Since October 7th hundreds of VCs continue to keep their names on a document supporting Israel's actions, and continue to publicly endorse for Israel's genocide of the people of Gaza.","https://github.com/TechForPalestine/antipalestinian-vc-funds/blob/main/README.md","",""
