Fund Name (AS CITED),SSGA S&P 500 EX‐TOB UCRP
Internal Name,S&P 500® ex-Tobacco Index Strategy
Restricted y/n,y
Ammount of companies in fund (restricted),NaN
Filing Date (restricted),NaN
Source,https://www.ssga.com/us/en/institutional/ic/strategies/sp-500-ex-tobacco-index-strategy-smp00869
Note:,"The holdings for this security are fully private, but using SSGA's normal S&P 500 fund, and using our methodology, we can roughly reconstruct their funds. Click ""informed estimate""."
,
Restricted Data:,
Company,Index Weight
Non-Public Holdings,0
,
,
,
,
Unrestricted Data Divider,
Fund Name:,State Street S&P 500 Index Fund
Ammount of companies in fund (restricted),500
Filing Date (restricted),"Feb 29, 2024"
Source,https://www.ssga.com/us/en/institutional/ic/funds/state-street-sp-500-index-fund-class-n-svspx
Company,Index Weight
Ball Corporation,0.00046047
Expedia Group Inc.,0.00045952
FirstEnergy Corp.,0.00045733
Invitation Homes Inc.,0.00045347
Laboratory Corporation of America Holdings,0.00045148
Clorox Company,0.00044956
PPL Corporation,0.00044893
Hewlett Packard Enterprise Co.,0.00044527
Waters Corporation,0.0004431
Brown & Brown Inc.,0.00044299
Nasdaq Inc.,0.00044174
Ameren Corporation,0.00044134
Hologic Inc.,0.00043925
Teledyne Technologies Incorporated,0.00043667
Cooper Companies Inc.,0.00043451
NetApp Inc.,0.00043171
FactSet Research Systems Inc.,0.0004233
Las Vegas Sands Corp.,0.00042182
EPAM Systems Inc.,0.00042136
Alexandria Real Estate Equities Inc.,0.00041848
Expeditors International of Washington Inc.,0.00041784
Principal Financial Group Inc.,0.00041666
Jacobs Solutions Inc.,0.00041425
Tyler Technologies Inc.,0.00041324
Atmos Energy Corporation,0.00041297
Huntington Bancshares Incorporated,0.00041195
VeriSign Inc.,0.00041071
Omnicom Group Inc,0.0004102
McCormick & Company Incorporated,0.00040791
Western Digital Corporation,0.00040072
Seagate Technology Holdings PLC,0.00040061
Cincinnati Financial Corporation,0.00039884
Textron Inc.,0.00039864
CenterPoint Energy Inc.,0.00039819
Enphase Energy Inc.,0.00039799
Regions Financial Corporation,0.00039757
Jabil Inc.,0.00039526
Avery Dennison Corporation,0.00039309
CMS Energy Corporation,0.00039146
Ventas Inc.,0.00038972
Leidos Holdings Inc.,0.00038671
Synchrony Financial,0.00038627
Masco Corporation,0.00038414
J.B. Hunt Transport Services Inc.,0.00037976
Skyworks Solutions Inc.,0.00037954
Kellanova,0.00037953
Northern Trust Corporation,0.00037942
IDEX Corporation,0.00037897
Everest Group Ltd.,0.00037829
Akamai Technologies Inc.,0.00037324
Teradyne Inc.,0.00037145
Walgreens Boots Alliance Inc.,0.00037136
Best Buy Co. Inc.,0.00037051
W. R. Berkley Corporation,0.00036751
Carnival Corporation,0.00036198
Albemarle Corporation,0.00036166
Live Nation Entertainment Inc.,0.00036153
First Solar Inc.,0.0003572
Stanley Black & Decker Inc.,0.00035484
Pool Corporation,0.00035423
Domino's Pizza Inc.,0.00035288
Trimble Inc.,0.00035253
CF Industries Holdings Inc.,0.0003498
Packaging Corporation of America,0.0003441
Viatris Inc.,0.00034226
Charles River Laboratories International Inc.,0.00034167
Citizens Financial Group Inc.,0.00033988
Lamb Weston Holdings Inc.,0.00033789
Tyson Foods Inc. Class A,0.0003376
United Airlines Holdings Inc.,0.0003365
Marathon Oil Corporation,0.00033583
Host Hotels & Resorts Inc.,0.00033201
Bunge Global SA,0.00033188
Celanese Corporation,0.00032762
Quest Diagnostics Incorporated,0.0003259
Nordson Corporation,0.00032456
Mid-America Apartment Communities Inc.,0.0003239
Zebra Technologies Corporation Class A,0.00032376
Essex Property Trust Inc.,0.00032145
Snap-on Incorporated,0.00031139
Bio-Techne Corporation,0.00031069
MGM Resorts International,0.00031051
KeyCorp,0.00030885
J.M. Smucker Company,0.00030048
Amcor PLC,0.00029892
EQT Corporation,0.00029856
LKQ Corporation,0.00029791
Loews Corporation,0.00029624
NRG Energy Inc.,0.00029175
Jack Henry & Associates Inc.,0.00029089
Conagra Brands Inc.,0.00028992
Dayforce Inc.,0.0002895
CarMax Inc.,0.0002885
NiSource Inc,0.00028554
Revvity Inc.,0.00028443
Kimco Realty Corporation,0.00028284
Universal Health Services Inc. Class B,0.00028201
Eastman Chemical Company,0.00028111
Incyte Corporation,0.00027913
Catalent Inc,0.00027828
Bath & Body Works Inc.,0.00027792
News Corporation Class A,0.0002763
Hormel Foods Corporation,0.00027571
Teleflex Incorporated,0.00027486
Rollins Inc.,0.00027355
Camden Property Trust,0.00027246
Juniper Networks Inc.,0.00027228
Interpublic Group of Companies Inc.,0.00027006
Gen Digital Inc.,0.00026481
Evergy Inc.,0.00026392
Huntington Ingalls Industries Inc.,0.00026234
Molson Coors Beverage Company Class B,0.00025943
Allegion Public Limited Company,0.0002584
Pentair plc,0.00025727
WestRock Company,0.00025653
Insulet Corporation,0.00025378
Regency Centers Corporation,0.00025268
Alliant Energy Corp,0.00025189
International Paper Company,0.0002515
Wynn Resorts Limited,0.00025091
Qorvo Inc.,0.00024816
UDR Inc.,0.0002472
Brown-Forman Corporation Class B,0.00024685
Healthpeak Properties Inc.,0.00024188
A. O. Smith Corporation,0.00023907
Robert Half Inc.,0.00023604
AES Corporation,0.00023477
C.H. Robinson Worldwide Inc.,0.00023432
Paycom Software Inc.,0.00023374
American Airlines Group Inc.,0.0002337
F5 Inc.,0.00023111
Globe Life Inc.,0.0002307
Campbell Soup Company,0.00022977
Henry Schein Inc.,0.0002259
Norwegian Cruise Line Holdings Ltd.,0.0002223
Ralph Lauren Corporation Class A,0.00022179
Assurant Inc.,0.00021748
Boston Properties Inc.,0.00021573
Mosaic Company,0.00021514
Pinnacle West Capital Corporation,0.00021479
MarketAxess Holdings Inc.,0.00021015
Caesars Entertainment Inc,0.00020721
Tapestry Inc.,0.00020573
Franklin Resources Inc.,0.00020371
Etsy Inc.,0.00020195
Fox Corporation Class A,0.00020149
APA Corporation,0.00019925
Federal Realty Investment Trust,0.00019862
DENTSPLY SIRONA Inc.,0.0001969
BorgWarner Inc.,0.00019625
Bio-Rad Laboratories Inc. Class A,0.00019414
Match Group Inc.,0.00019233
Invesco Ltd.,0.00019173
FMC Corporation,0.00018959
DaVita Inc.,0.00018504
Hasbro Inc.,0.00018153
Comerica Incorporated,0.00017964
Mohawk Industries Inc.,0.00016428
Whirlpool Corporation,0.00016278
Generac Holdings Inc.,0.00016009
Zions Bancorporation N.A.,0.00015969
Paramount Global Class B,0.00014623
V.F. Corporation,0.00014513
Fox Corporation Class B,0.00010785
News Corporation Class B,0.00007481
