Fund Name (AS CITED),SPDR MSCI
Internal Name,SPDR® MSCI USA StrategicFactors℠ ETF
Restricted y/n,n
Ammount of companies in fund (restricted),610
Filing Date (restricted),"Apr 29, 2024"
Source,https://www.ssga.com/us/en/institutional/etfs/funds/spdr-msci-usa-strategicfactors-etf-qus
Note:,
Restricted Data:,
Company,Index Weight
DARLING INGREDIENTS INC,0.00012556
STERIS PLC,0.00012073
TRIMBLE INC,0.00011826
TAKE TWO INTERACTIVE SOFTWRE,0.00011451
COSTAR GROUP INC,0.00011417
CHARLES RIVER LABORATORIES,0.00011131
CLOROX COMPANY,0.00011121
PENTAIR PLC,0.00011076
BROWN + BROWN INC,0.0001107
IRON MOUNTAIN INC,0.0001105
FORTUNE BRANDS INNOVATIONS I,0.00010946
TRANSDIGM GROUP INC,0.00010812
APA CORP,0.00010765
ANSYS INC,0.00010651
WESTLAKE CORP,0.00010628
TRANSUNION,0.00010559
ILLUMINA INC,0.00010515
MID AMERICA APARTMENT COMM,0.00010512
SUN COMMUNITIES INC,0.00010429
ROYALTY PHARMA PLC CL A,0.00010395
METTLER TOLEDO INTERNATIONAL,0.00010183
ESSENTIAL UTILITIES INC,0.00010024
RPM INTERNATIONAL INC,0.0000987
VERTIV HOLDINGS CO A,0.00009688
ZOOM VIDEO COMMUNICATIONS A,0.00009503
GLOBE LIFE INC,0.00009459
FIRST SOLAR INC,0.00009305
MGM RESORTS INTERNATIONAL,0.00009163
BURLINGTON STORES INC,0.00009145
U HAUL HOLDING CO NON VOTING,0.00009122
CARNIVAL CORP,0.00009039
REGENCY CENTERS CORP,0.00008715
AMERICAN HOMES 4 RENT A,0.00008595
TWILIO INC  A,0.00008507
LIBERTY MEDIA CORP LIBER NEW,0.00008461
AIRBNB INC CLASS A,0.00008426
TELEFLEX INC,0.0000829
ENTEGRIS INC,0.00008218
DELTA AIR LINES INC,0.00007808
HOST HOTELS + RESORTS INC,0.00007646
CAMDEN PROPERTY TRUST,0.00007616
DOORDASH INC  A,0.00007576
EXPEDIA GROUP INC,0.00007532
UDR INC,0.00007482
ROYAL CARIBBEAN CRUISES LTD,0.00007365
LIBERTY BROADBAND C,0.00007335
GAMING AND LEISURE PROPERTIE,0.00007322
WORKDAY INC CLASS A,0.00006806
MSCI INC,0.0000679
ARES MANAGEMENT CORP  A,0.00006705
LIBERTY MEDIA CORP LIB NEW C,0.00006531
MATCH GROUP INC,0.00006239
HILTON WORLDWIDE HOLDINGS IN,0.00006238
ROBINHOOD MARKETS INC  A,0.000062
DEXCOM INC,0.00006194
SMITH (A.O.) CORP,0.00006189
PALO ALTO NETWORKS INC,0.00006184
MERCADOLIBRE INC,0.00006063
OKTA INC,0.00006053
JAZZ PHARMACEUTICALS PLC,0.00005935
CAESARS ENTERTAINMENT INC,0.00005716
TYLER TECHNOLOGIES INC,0.00005365
ENPHASE ENERGY INC,0.0000527
SBA COMMUNICATIONS CORP,0.00005106
ZILLOW GROUP INC  C,0.00004562
PINTEREST INC CLASS A,0.00004355
BIO TECHNE CORP,0.00004305
APPLOVIN CORP CLASS A,0.00003965
RIVIAN AUTOMOTIVE INC A,0.00003808
HEICO CORP CLASS A,0.00003799
ETSY INC,0.00003796
EQUITY LIFESTYLE PROPERTIES,0.0000366
TRADE DESK INC/THE CLASS A,0.00003595
VAIL RESORTS INC,0.00003517
LAS VEGAS SANDS CORP,0.00003471
WYNN RESORTS LTD,0.00003293
SNOWFLAKE INC CLASS A,0.00003205
SNAP INC  A,0.00003122
SOUTHWEST AIRLINES CO,0.00003023
LIVE NATION ENTERTAINMENT IN,0.00002952
CROWDSTRIKE HOLDINGS INC  A,0.00002926
PALANTIR TECHNOLOGIES INC A,0.000029
HEICO CORP,0.00002806
EXACT SCIENCES CORP,0.00002492
BENTLEY SYSTEMS INC CLASS B,0.00002356
SIRIUS XM HOLDINGS INC,0.00002226
ROKU INC,0.00001885
DAYFORCE INC,0.00001804
REPLIGEN CORP,0.00001784
BILL HOLDINGS INC,0.00001554
DRAFTKINGS INC CL A,0.00001477
HUBSPOT INC,0.00001164
HYATT HOTELS CORP  CL A,0.00001029
AXON ENTERPRISE INC,0.00001022
UNITY SOFTWARE INC,0.0000098
UIPATH INC  CLASS A,0.00000877
ROBLOX CORP CLASS A,0.00000759
CLOUDFLARE INC  CLASS A,0.00000742
TOAST INC CLASS A,0.00000668
ALNYLAM PHARMACEUTICALS INC,0.00000668
DYNATRACE INC,0.00000655
LATTICE SEMICONDUCTOR CORP,0.00000605
DOCUSIGN INC,0.00000472
DATADOG INC  CLASS A,0.00000452
INSULET CORP,0.00000447
ZSCALER INC,0.00000413
ATLASSIAN CORP CL A,0.0000038
MONGODB INC,0.00000148
